variable_name,pressure,temperature,wind_speed,temperature,wind_speed
height,0,2,10,80,80
1/1/10 1:00,101880,266.35,3.6,263.6282746,5.275999677
1/1/10 2:00,101890,266.25,3.6,263.5282789,5.181841051
1/1/10 3:00,101900,266.05,3.7,263.3282874,5.602450964
1/1/10 4:00,101870,265.95,3.6,263.2282916,4.999555998
1/1/10 5:00,101870,265.85,3.6,263.1282959,5.065198742
1/1/10 6:00,101890,265.75,3.7,263.0283002,5.261843395
1/1/10 7:00,101910,265.65,3.6,262.9283044,5.122873449
1/1/10 8:00,101930,265.75,3.7,263.0283002,5.539347952
1/1/10 9:00,101960,266.45,4,263.7282704,5.621335032
1/1/10 10:00,101990,267.45,4.5,264.7282281,6.252515708
1/1/10 11:00,101970,268.25,4.7,265.5281945,6.934836102
1/1/10 12:00,101890,268.95,4.8,266.2281653,7.002265445
1/1/10 13:00,101820,269.45,4.8,266.7281446,6.778351644
1/1/10 14:00,101800,269.85,4.7,267.128128,6.792377133
1/1/10 15:00,101810,269.85,4.7,267.128128,7.267589558
1/1/10 16:00,101830,269.45,4.4,266.7281446,6.963449004
1/1/10 17:00,101860,268.75,4,266.0281737,6.705710735
1/1/10 18:00,101870,268.25,3.9,265.5281945,6.069014888
1/1/10 19:00,101900,267.75,3.8,265.0282155,6.112579544
1/1/10 20:00,101900,267.45,3.8,264.7282281,5.935571738
1/1/10 21:00,101900,267.25,3.8,264.5282366,5.826638952
1/1/10 22:00,101900,266.95,3.8,264.2282492,5.755994715
1/1/10 23:00,101910,266.85,3.7,264.1282534,6.223206489
1/2/10 0:00,101880,266.55,3.7,263.8282661,5.889304824
1/2/10 1:00,101870,266.35,3.5,263.6282746,5.892275317
1/2/10 2:00,101880,266.25,3.6,263.5282789,6.170462593
1/2/10 3:00,101900,266.15,3.6,263.4282831,6.453017489
1/2/10 4:00,101870,265.95,3.6,263.2282916,6.076396673
1/2/10 5:00,101870,265.85,3.6,263.1282959,6.135523918
1/2/10 6:00,101890,265.75,3.6,263.0283002,6.635925114
1/2/10 7:00,101910,265.65,3.6,262.9283044,6.370193119
1/2/10 8:00,101930,265.75,3.7,263.0283002,7.781021563
1/2/10 9:00,101960,266.45,4,263.7282704,8.637823601
1/2/10 10:00,101990,267.45,4.5,264.7282281,9.864672904
1/2/10 11:00,101970,268.25,4.6,265.5281945,10.62573289
1/2/10 12:00,101890,268.95,4.8,266.2281653,12.0044326
1/2/10 13:00,101820,269.55,4.8,266.8281404,12.73513138
1/2/10 14:00,101800,269.85,4.7,267.128128,13.33030842
1/2/10 15:00,101810,269.85,4.7,267.128128,12.23531993
1/2/10 16:00,101830,269.55,4.4,266.8281404,9.512491015
1/2/10 17:00,101860,268.75,4,266.0281737,8.215106397
1/2/10 18:00,101870,268.25,3.9,265.5281945,9.385282002
1/2/10 19:00,101900,267.85,3.8,265.1282113,7.73812366
1/2/10 20:00,101900,267.45,3.8,264.7282281,7.298101127
1/2/10 21:00,101900,267.35,3.8,264.6282323,6.943408948
1/2/10 22:00,101900,266.95,3.8,264.2282492,8.018207015
1/2/10 23:00,101910,266.85,3.8,264.1282534,6.692441009
1/3/10 0:00,101880,266.55,3.7,263.8282661,6.633778431
1/3/10 1:00,101870,266.35,3.6,263.6282746,6.342807814
1/3/10 2:00,101880,266.25,3.6,263.5282789,6.584289533
1/3/10 3:00,101890,266.15,3.7,263.4282831,7.182840207
1/3/10 4:00,101870,265.95,3.6,263.2282916,7.234166892
1/3/10 5:00,101870,265.85,3.6,263.1282959,7.520694658
1/3/10 6:00,101890,265.75,3.6,263.0283002,7.444671555
1/3/10 7:00,101910,265.65,3.6,262.9283044,8.481645823
1/3/10 8:00,101930,265.75,3.7,263.0283002,9.481988101
1/3/10 9:00,101960,266.45,4,263.7282704,9.763630481
1/3/10 10:00,101990,267.45,4.5,264.7282281,8.915489985
1/3/10 11:00,101970,268.25,4.8,265.5281945,8.297151941
1/3/10 12:00,101880,268.95,4.9,266.2281653,7.980907404
1/3/10 13:00,101820,269.45,4.9,266.7281446,9.344018104
1/3/10 14:00,101790,269.75,4.8,267.0281321,8.789189189
1/3/10 15:00,101800,269.75,4.8,267.0281321,11.00342226
1/3/10 16:00,101820,269.45,4.5,266.7281446,11.21244388
1/3/10 17:00,101850,268.75,4.1,266.0281737,8.49034285
1/3/10 18:00,101870,268.15,4,265.4281987,9.003399522
1/3/10 19:00,101890,267.75,3.9,265.0282155,8.926723854
1/3/10 20:00,101890,267.45,3.8,264.7282281,7.631161289
1/3/10 21:00,101890,267.25,3.9,264.5282366,9.811556398
1/3/10 22:00,101900,266.95,3.9,264.2282492,9.651447532
1/3/10 23:00,101900,266.75,3.8,264.0282577,9.242488294
1/4/10 0:00,101880,266.55,3.8,263.8282661,11.20277974
